Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'6772395737160,handle,fr,,,black-active-comfort-full-zip-hoodie,
PRODUCT,'6772395737160,meta_title,fr,,,Black Active Comfort Full Zip Hoodie | Black Active Comfort Full Zip Hoodie | True Classic,Sweat à capuche zippé noir Active Comfort | Sweat à capuche zippé noir Active Comfort | Un vrai classique
PRODUCT,'6772395835464,title,fr,,,Heather Navy Active Comfort Full Zip Hoodie,Heather Navy Active Comfort Full Zip Hoodie
PRODUCT,'6772395835464,body_html,fr,,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">If you’re only bringing one hoodie, this is your guy. Lounging to long travel days, do it all in an ultra-soft active fabric packed with 4-way stretch, quick dry, and moisture-wicking performance features. And with a perfect fit in the arms and shoulders, you’ll look like you just hit a workout – no weights required.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Features:</span></strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Perfect fit</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-soft</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">4-way stretch</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Quick dry and moisture-wicking</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">UPF 50+ sun protection</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Auto-lock zipper for secure, noiseless closure</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 front pockets</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Hood with adjustable drawcord</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">89% Polyester/ 11% Spandex</span>
</li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Fit:</span></strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Slim fit through arms and shoulders</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Room through the body</span>
</li>
<li>Model is 6'2"" and wearing size L</li>
</ul>","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Si vous n'apportez qu'un seul sweat à capuche, c'est votre homme. Détendez-vous pendant les longues journées de voyage, faites tout cela dans un tissu actif ultra doux doté de caractéristiques de performance extensibles dans 4 directions, à séchage rapide et évacuant l'humidité. Et avec un ajustement parfait au niveau des bras et des épaules, vous aurez l'impression de venir tout juste de vous entraîner – aucun poids n'est requis.</span></p>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>

<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Caractéristiques:</span></strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Ajustement parfait</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-doux</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Étirement dans 4 directions</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Séchage rapide et évacuation de l'humidité</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Protection solaire UPF 50+</span>

</li>

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Fermeture éclair à verrouillage automatique pour une fermeture sécurisée et silencieuse</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 poches avant</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Capuche avec cordon de serrage réglable</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">89 % polyester/ 11 % élasthanne</span>

</li>


</ul>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Ajuster:</span></strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Espace à travers le corps</span>

</li>

<li> Le mannequin mesure 6'2"" et porte une taille L</li>


</ul>"
PRODUCT,'6772395835464,handle,fr,,,heather-navy-active-comfort-full-zip-hoodie,
PRODUCT,'6772395835464,meta_title,fr,,,Heather Navy Active Comfort Full Zip Hoodie | Heather Navy Active Comfort Full Zip Hoodie | True Classic,Sweat à capuche entièrement zippé Active Comfort Heather Navy | Sweat à capuche entièrement zippé Active Comfort Heather Navy | Un vrai classique
PRODUCT,'6772396326984,title,fr,,,Charcoal Heather Active Comfort Full Zip Hoodie,Charcoal Heather Active Comfort Full Zip Hoodie
PRODUCT,'6772396326984,body_html,fr,,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">If you’re only bringing one hoodie, this is your guy. Lounging to long travel days, do it all in an ultra-soft active fabric packed with 4-way stretch, quick dry, and moisture-wicking performance features. And with a perfect fit in the arms and shoulders, you’ll look like you just hit a workout – no weights required.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Features:</span></strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Perfect fit</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-soft</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">4-way stretch</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Quick dry and moisture-wicking</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">UPF 50+ sun protection</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Auto-lock zipper for secure, noiseless closure</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 front pockets</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Hood with adjustable drawcord</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">89% Polyester/ 11% Spandex</span>
</li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Fit:</span></strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Slim fit through arms and shoulders</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Room through the body</span>
</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Model is 6'2"" and wearing size L</span></li>
</ul>","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Si vous n'apportez qu'un seul sweat à capuche, c'est votre homme. Détendez-vous pendant les longues journées de voyage, faites tout cela dans un tissu actif ultra doux doté de caractéristiques de performance extensibles dans 4 directions, à séchage rapide et évacuant l'humidité. Et avec un ajustement parfait au niveau des bras et des épaules, vous aurez l'impression de venir tout juste de vous entraîner – aucun poids n'est requis.</span></p>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>

<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Caractéristiques:</span></strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Ajustement parfait</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-doux</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Étirement dans 4 directions</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Séchage rapide et évacuation de l'humidité</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Protection solaire UPF 50+</span>

</li>

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Fermeture éclair à verrouillage automatique pour une fermeture sécurisée et silencieuse</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 poches avant</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Capuche avec cordon de serrage réglable</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">89 % polyester/ 11 % élasthanne</span>

</li>


</ul>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Ajuster:</span></strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Espace à travers le corps</span>

</li>

<li data-mce-fragment=""1""> <span data-mce-fragment=""1"">Le mannequin mesure 6'2"" et porte une taille L</span>
</li>


</ul>"
PRODUCT,'6772396326984,handle,fr,,,charcoal-heather-active-comfort-full-zip-hoodie,
PRODUCT,'6772396326984,meta_title,fr,,,Charcoal Heather Active Comfort Full Zip Hoodie | Charcoal Heather Active Comfort Full Zip Hoodie | True Classic,Sweat à capuche entièrement zippé Active Comfort Charcoal Heather | Sweat à capuche entièrement zippé Active Comfort Charcoal Heather | Un vrai classique
